N,Exact,Chi,Lawshe,Bayes
2,NA,NA,NA,NA
3,NA,NA,NA,NA
4,NA,1.00,NA,1.00
5,1.00,1.00,0.99,1.00
6,1.00,1.00,0.99,1.00
7,1.00,1.00,0.99,0.71
8,0.75,0.75,0.75,0.75
9,0.78,0.78,0.78,0.78
10,0.80,0.80,0.65,0.60
11,0.64,0.64,0.59,0.64
12,0.67,0.67,0.56,0.50
13,0.54,0.69,0.54,0.54
14,0.57,0.57,0.51,0.57
15,0.60,0.60,0.49,0.47
16,0.50,0.50,NA,0.50
17,0.53,0.53,NA,0.41
18,0.44,0.56,NA,0.44
19,0.47,0.47,NA,0.47
20,0.50,0.50,0.42,0.40
21,0.43,0.43,NA,0.43
22,0.45,0.45,NA,0.36
23,0.39,0.48,NA,0.39
24,0.42,0.42,NA,0.42
25,0.44,0.44,0.37,0.36
26,0.38,0.38,NA,0.38
27,0.41,0.41,NA,0.33
28,0.36,0.43,NA,0.36
29,0.38,0.38,NA,0.31
30,0.33,0.40,0.33,0.33
31,0.35,0.35,NA,0.35
32,0.38,0.38,NA,0.31
33,0.33,0.39,NA,0.33
34,0.35,0.35,NA,0.29
35,0.31,0.37,0.31,0.31
36,0.33,0.33,NA,0.28
37,0.30,0.35,NA,0.30
38,0.32,0.37,NA,0.32
39,0.33,0.33,NA,0.28
40,0.30,0.35,0.29,0.30
